"Host","NumPubs"
"abrothrix longipilis",13
"abrothrix olivaceus",10
"abrothrix sanborni",1
"acanthis flammea",4
"accipiter cooperii",36
"accipiter gentilis",140
"accipiter gularis",8
"accipiter nisus",106
"accipiter striatus",20
"accipiter trivirgatus",4
"acerodon celebensis",1
"acinonyx jubatus",329
"acomys cahirinus",288
"acomys dimidiatus",41
"acomys johannis",1
"acomys russatus",62
"acridotheres cristatellus",1
"acridotheres tristis",63
"acrocephalus arundinaceus",72
"acrocephalus dumetorum",4
"acrocephalus palustris",10
"acrocephalus schoenobaenus",26
"acrocephalus scirpaceus",62
"actitis macularius",2
"addax nasomaculatus",29
"aechmophorus occidentalis",16
"aegithalos caudatus",29
"aegolius acadicus",11
"aegolius funereus",36
"aegypius monachus",50
"aeorestes cinereus",2
"aeorestes egregius",0
"aepyceros melampus",150
"aethomys kaiseri",3
"afronycteris nana",0
"agamia agami",1
"agapornis fischeri",6
"agapornis lilianae",2
"agapornis nigrigenis",2
"agapornis personatus",2
"agapornis pullarius",1
"agapornis roseicollis",46
"agapornis taranta",1
"agelaioides badius",5
"agelaius phoeniceus",136
"agelaius tricolor",6
"agropsar sturninus",0
"ailuropoda melanoleuca",358
"ailurus fulgens",108
"aix galericulata",13
"aix sponsa",63
"akodon azarae",67
"akodon cursor",38
"akodon montensis",62
"akodon paranaensis",12
"akodon simulator",3
"akodon varius",1
"alauda arvensis",38
"alcedo atthis",21
"alcelaphus buselaphus",30
"alces alces",583
"alces americanus",44
"alectoris barbara",13
"alectoris chukar",112
"alectoris graeca",45
"alectoris rufa",144
"alethe diademata",3
"alexandromys middendorffii",0
"alipiopsitta xanthops",1
"alisterus amboinensis",1
"alisterus scapularis",4
"allenopithecus nigroviridis",11
"allochrocebus lhoesti",0
"allochrocebus preussi",1
"allochrocebus solatus",0
"allocricetulus eversmanni",3
"alopochen aegyptiaca",4
"alouatta belzebul",32
"alouatta caraya",159
"alouatta guariba",60
"alouatta palliata",179
"alouatta pigra",112
"alouatta sara",13
"alouatta seniculus",91
"alticola argentatus",8
"amandava amandava",18
"amaurornis flavirostra",0
"amaurornis phoenicurus",8
"amazona aestiva",78
"amazona albifrons",4
"amazona amazonica",31
"amazona arausiaca",0
"amazona auropalliata",18
"amazona autumnalis",14
"amazona barbadensis",4
"amazona farinosa",6
"amazona festiva",1
"amazona finschi",4
"amazona leucocephala",3
"amazona ochrocephala",25
"amazona oratrix",12
"amazona pretrei",6
"amazona rhodocorytha",3
"amazona ventralis",64
"amazona versicolor",1
"amazona vinacea",8
"amazona viridigenalis",4
"amazona xantholora",1
"amblycercus holosericeus",0
"ammospermophilus nelsoni",2
"ammotragus lervia",64
"anas acuta",96
"anas bahamensis",1
"anas capensis",4
"anas carolinensis",13
"anas castanea",2
"anas crecca",89
"anas cyanoptera",11
"anas diazi",8
"anas erythrorhyncha",6
"anas flavirostris",6
"anas fulvigula",14
"anas georgica",5
"anas gibberifrons",1
"anas gracilis",10
"anas melleri",0
"anas platalea",3
"anas platyrhynchos",1490
"anas poecilorhyncha",19
"anas puna",1
"anas querquedula",18
"anas rubripes",49
"anas smithii",2
"anas superciliosa",6
"anas undulata",3
"anas versicolor",0
"anastomus oscitans",7
"anhinga anhinga",35
"anhinga melanogaster",4
"anhinga rufa",1
"anodorhynchus hyacinthinus",25
"anodorhynchus leari",7
"anoura caudifer",7
"anoura geoffroyi",16
"anourosorex squamipes",10
"anous stolidus",14
"anous tenuirostris",5
"anser albifrons",82
"anser anser",694
"anser brachyrhynchus",20
"anser caerulescens",49
"anser canagica",1
"anser canagicus",1
"anser cygnoides",110
"anser erythropus",9
"anser fabalis",31
"anser indicus",68
"anser rossii",2
"anseranas semipalmata",7
"antechinus flavipes",25
"antechinus stuartii",64
"anthornis melanura",7
"anthus campestris",5
"anthus rufulus",0
"anthus trivialis",9
"antidorcas marsupialis",72
"antigone antigone",51
"antigone canadensis",3
"antigone vipio",2
"antilocapra americana",98
"antilope cervicapra",40
"antrostomus carolinensis",1
"antrozous pallidus",34
"aonyx cinereus",14
"aotus azarai",25
"aotus nancymaae",94
"aotus trivirgatus",321
"aotus vociferans",59
"aphelocoma californica",54
"aphelocoma coerulescens",55
"apodemus agrarius",449
"apodemus alpicola",4
"apodemus argenteus",65
"apodemus chejuensis",8
"apodemus chevrieri",20
"apodemus draco",10
"apodemus flavicollis",430
"apodemus latronum",7
"apodemus mystacinus",18
"apodemus pallipes",1
"apodemus peninsulae",96
"apodemus ponticus",15
"apodemus speciosus",137
"apodemus sylvaticus",541
"apodemus uralensis",51
"aprosmictus erythropterus",0
"aptenodytes forsteri",81
"aptenodytes patagonicus",119
"apteryx australis",16
"apteryx mantelli",40
"apteryx owenii",8
"apus apus",120
"aquila adalberti",29
"aquila audax",6
"aquila chrysaetos",92
"aquila fasciata",23
"aquila heliaca",16
"aquila rapax",7
"ara ambiguus",4
"ara ararauna",65
"ara chloropterus",13
"ara glaucogularis",8
"ara macao",49
"ara militaris",9
"ara rubrogenys",5
"ara severus",3
"aratinga jandaya",1
"aratinga nenday",4
"aratinga solstitialis",10
"arctocebus calabarensis",2
"arctocephalus australis",65
"arctocephalus forsteri",35
"arctocephalus galapagoensis",10
"arctocephalus gazella",91
"arctocephalus pusillus",78
"arctocephalus tropicalis",32
"ardea alba",52
"ardea cinerea",70
"ardea herodias",64
"ardea intermedia",6
"ardenna carneipes",6
"ardenna pacifica",6
"ardenna tenuirostris",9
"ardeola bacchus",14
"ardeola grayii",11
"ardeola ralloides",7
"ardeotis kori",21
"arenaria interpres",49
"arenaria melanocephala",4
"argusianus argus",6
"arremon taciturnus",1
"artibeus cinereus",4
"artibeus fimbriatus",9
"artibeus glaucus",0
"artibeus hirsutus",3
"artibeus jamaicensis",106
"artibeus lituratus",115
"artibeus obscurus",11
"artibeus phaeotis",4
"artibeus planirostris",44
"artibeus toltecus",0
"arvicanthis neumanni",4
"arvicanthis niloticus",182
"arvicola amphibius",32
"arvicola scherman",15
"aselliscus stoliczkanus",12
"asio flammeus",13
"asio otus",63
"atelerix albiventris",108
"atelerix algirus",10
"ateles belzebuth",36
"ateles chamek",31
"ateles fusciceps",30
"ateles geoffroyi",207
"ateles paniscus",59
"athene noctua",64
"atherurus africanus",15
"atilax paludinosus",8
"avahi laniger",14
"axis porcinus",13
"aythya affinis",41
