"Host","HostClass","HostOrder","HostFamily","HostGenus","ZoonoticHost","PathogenRichness","ZoonoticPathogenRichness","Pathogens","ZoonoticPathogens","HostCriteria"
"abbottina rivularis","actinopteri","cypriniformes","gobionidae","abbottina",TRUE,2,1,"dollfustrema hefeiensis, schyzocotyle acheilognathi","schyzocotyle acheilognathi","Broad (serology, sequencing or isolation)"
"abramis brama","actinopteri","cypriniformes","leuciscidae","abramis",TRUE,13,1,"aeromonas salmonicida, dactylogyrus falcatus, dactylogyrus wunderi, dactylogyrus zandti, diplozoon paradoxum, gyrodactylus elegans, ligula intestinalis, goussia balatonica, naegleria pagei, carp sprivivirus, cyprinid herpesvirus 3, infectious pancreatic necrosis virus, pike fry sprivivirus","aeromonas salmonicida","Broad (serology, sequencing or isolation)"
"abrothrix longipilis","mammalia","rodentia","cricetidae","abrothrix",TRUE,1,1,"andes orthohantavirus","andes orthohantavirus","Broad (serology, sequencing or isolation)"
"abrothrix olivaceus","mammalia","rodentia","cricetidae","abrothrix",TRUE,1,1,"andes orthohantavirus","andes orthohantavirus","Broad (serology, sequencing or isolation)"
"abrothrix sanborni","mammalia","rodentia","cricetidae","abrothrix",TRUE,1,1,"andes orthohantavirus","andes orthohantavirus","Broad (serology, sequencing or isolation)"
"acanthemblemaria crockeri","actinopteri","blenniiformes","chaenopsidae","acanthemblemaria",FALSE,1,0,"lymphocystis disease virus 1","","Broad (serology, sequencing or isolation)"
"acanthis flammea","aves","passeriformes","fringillidae","acanthis",TRUE,3,2,"escherichia albertii, salmonella enterica, whataroa virus","escherichia albertii, salmonella enterica","Broad (serology, sequencing or isolation)"
"acanthochromis polyacanthus","actinopteri",NA,"pomacentridae","acanthochromis",FALSE,2,0,"bivesicula unexpecta, lepotrema clavatum","","Broad (serology, sequencing or isolation)"
"acanthogobius flavimanus","actinopteri","gobiiformes","gobiidae","acanthogobius",FALSE,1,0,"pseudodactylogyrus haze","","Broad (serology, sequencing or isolation)"
"acanthogobius hasta","actinopteri","gobiiformes","gobiidae","acanthogobius",TRUE,1,1,"vibrio harveyi","vibrio harveyi","Broad (serology, sequencing or isolation)"
"acanthopagrus australis","actinopteri","spariformes","sparidae","acanthopagrus",TRUE,4,1,"streptococcus iniae, benedenia anticavaginata, prototransversotrema steeri, transversotrema licinum","streptococcus iniae","Broad (serology, sequencing or isolation)"
"acanthopagrus bifasciatus","actinopteri","spariformes","sparidae","acanthopagrus",FALSE,1,0,"lamellodiscus donatellae","","Broad (serology, sequencing or isolation)"
"acanthopagrus butcheri","actinopteri","spariformes","sparidae","acanthopagrus",FALSE,1,0,"tenacibaculum maritimum","","Broad (serology, sequencing or isolation)"
"acanthopagrus latus","actinopteri","spariformes","sparidae","acanthopagrus",TRUE,2,2,"vibrio harveyi, infectious spleen and kidney necrosis virus","vibrio harveyi, infectious spleen and kidney necrosis virus","Broad (serology, sequencing or isolation)"
"acanthopagrus schlegelii","actinopteri","spariformes","sparidae","acanthopagrus",TRUE,5,2,"tenacibaculum maritimum, vibrio harveyi, hirame novirhabdovirus, infectious spleen and kidney necrosis virus, piscine novirhabdovirus","vibrio harveyi, infectious spleen and kidney necrosis virus","Broad (serology, sequencing or isolation)"
"acanthophis antarcticus","lepidosauria","squamata","elapidae","acanthophis",TRUE,1,1,"salmonella enterica","salmonella enterica","Broad (serology, sequencing or isolation)"
